"NA.","V2","V3"
"pre-selection",2,2
"nb variables",40,60
"ar",0.322824582344094,0.322824582344094
"pred_ols",0.851458021878981,1.18232725143612
"pred_ms",0.8093255446775,1.32348983685936
"pred_qr",0.700126714308066,1.49272634379512
"pred_rf",0.582844867532355,0.464550340137472
"pred_xgbt",0.892587130302986,0.735505858584637
"pred_mrf",0.356930978104818,0.353523715455706
"pred_xgbl",0.41512098686557,0.412381429588034
"pred_mean",0.542382015758545,0.743159627970251
