"NA.","V2"
"pre-selection",1
"nb variables",60
"ar",1.52835030275504
"pred_ols",1.37130828093291
"pred_ms",1.8176203231058
"pred_qr",1.45088261185947
"pred_rf",1.27285722167742
"pred_xgbt",1.25345209587998
"pred_mrf",1.27283144410876
"pred_xgbl",1.35504140260319
"pred_mean",1.28468304345527
