"NA.","V2"
"pre-selection",1
"nb variables",60
"ar",1.03273640660754
"pred_ols",0.2370586841606
"pred_ms",0.2370586841606
"pred_qr",0.282386837306941
"pred_rf",0.770858010429326
"pred_xgbt",0.739701206850718
"pred_mrf",0.436551063273702
"pred_xgbl",0.470574153981295
"pred_mean",0.346724165024102
