"","total","crisis","normal"
"ar",1.15243529896078,2.15849403540709,0.367310347919626
"pred_ols",0.774508809572263,1.35117310400999,0.400960867885521
"pred_ms",0.774508809572263,1.35117310400999,0.400960867885521
"pred_qr",0.880178778775342,1.54404589526588,0.445226266083091
"pred_rf",0.893543895597364,1.60232845880881,0.405877110618152
"pred_xgbt",0.894377682382576,1.60974657019589,0.397775989601438
"pred_mrf",0.779731325067643,1.33262110952314,0.435464565078745
"pred_xgbl",0.729330728758471,1.30020139853044,0.341909762516231
"pred_mean",0.753787652529094,1.3691215060201,0.316651588905148
