"","total","crisis","normal"
"ar",1.52835030275504,2.6692880752264,0.787594117348186
"pred_ols",1.37130828093291,1.83340570634331,1.16190288407889
"pred_ms",1.8176203231058,2.33156510768298,1.59370014742406
"pred_qr",1.45088261185947,1.9257099471555,1.23723259402614
"pred_rf",1.27285722167742,2.04728101101778,0.836146386195244
"pred_xgbt",1.25345209587998,1.94984323749525,0.878674448035597
"pred_mrf",1.27283144410876,2.00181357997139,0.87464199012998
"pred_xgbl",1.35504140260319,1.96417985684861,1.05446049875957
"pred_mean",1.28468304345527,1.87052346560608,0.99412276386626
