"","total","crisis","normal"
"ar",1.15313057042799,2.15994246617515,0.367224061518087
"pred_ols",0.646142190531448,1.07869569102656,0.387615173310053
"pred_ms",0.797033509150848,1.30270059538189,0.50490412196902
"pred_qr",0.741364646984532,1.27500238635969,0.405197834052831
"pred_rf",0.820076949065358,1.4056547064672,0.453495885643737
"pred_xgbt",0.785559448094097,1.33125286062663,0.450916339600325
"pred_mrf",0.58364706518734,0.925137436465224,0.395072106916992
"pred_xgbl",0.65910665981832,1.09065621496509,0.40488843310792
"pred_mean",0.632001900745842,1.0642519961557,0.369845210865401
