"","date","true_value","ar","pred_lstm_custom","pred_mean","year"
"1",2012-01-15,0.000968885314264606,0.207243398989171,-0.124708510935307,-0.124708510935307,2012
"2",2012-02-15,0.0158775723580157,0.152359280053756,-0.106090478599072,-0.106090478599072,2012
"3",2012-03-15,0.0967035254645704,0.0355259564974963,-0.321371227502823,-0.321371227502823,2012
"4",2012-04-15,0.00562272591840563,0.0204685629955963,0.0950904563069344,0.0950904563069344,2012
"5",2012-05-15,0.23480826086726,0.0320204463386577,-0.320788592100143,-0.320788592100143,2012
"6",2012-06-15,0.180771325474406,0.112117744463071,-0.0812955796718598,-0.0812955796718598,2012
"7",2012-07-15,0.134738201844694,0.0231924273252519,-0.15915559232235,-0.15915559232235,2012
"8",2012-08-15,0.125656146255068,0.250896654826296,-0.0798463821411134,-0.0798463821411134,2012
"9",2012-09-15,0.236908749099975,0.199641774621501,-0.116688549518585,-0.116688549518585,2012
"10",2012-10-15,0.145027614678181,0.156834036322664,-0.0780549868941306,-0.0780549868941306,2012
"11",2012-11-15,0.172579826141226,0.144906948604509,-0.0583677440881729,-0.0583677440881729,2012
"12",2012-12-15,0.266668555629988,0.254465440516508,-0.10339992493391,-0.10339992493391,2012
"13",2013-01-15,0.269211151248735,0.164477361694417,-0.0914267003536225,-0.0914267003536225,2013
"14",2013-02-15,0.158124210162898,0.191967162671499,-0.117219388484955,-0.117219388484955,2013
"15",2013-03-15,0.46982414731244,0.284214187184767,-0.0709589570760727,-0.0709589570760727,2013
"16",2013-04-15,0.430651473057769,0.288975119300133,-0.102861002087593,-0.102861002087593,2013
"17",2013-05-15,0.33549099876643,0.179472178691619,0.0245045367628335,0.0245045367628335,2013
"18",2013-06-15,0.233659150191153,0.489294335270184,0.0393058136105537,0.0393058136105537,2013
"19",2013-07-15,0.315807621456197,0.454287513275303,-0.235194578766823,-0.235194578766823,2013
"20",2013-08-15,0.343107442778696,0.363848968870492,-0.237253218889236,-0.237253218889236,2013
"21",2013-09-15,0.329805828391218,0.257257324901461,-0.0758536607027053,-0.0758536607027053,2013
"22",2013-10-15,0.312031653687353,0.334627420544294,-0.18215049803257,-0.18215049803257,2013
"23",2013-11-15,0.365139255478663,0.361106927134713,-0.0256737805902959,-0.0256737805902959,2013
"24",2013-12-15,0.326079550600523,0.349627392414299,-0.0852148681879043,-0.0852148681879043,2013
"25",2014-01-15,0.542811360432324,0.331718773512821,-0.0177267529070377,-0.0177267529070377,2014
"26",2014-02-15,0.562471107405101,0.383791325577768,-0.138935387134552,-0.138935387134552,2014
"27",2014-03-15,0.340218236115392,0.345069102037184,-0.111851803958416,-0.111851803958416,2014
"28",2014-04-15,0.382198533437874,0.56202034812231,-0.057117909193039,-0.057117909193039,2014
"29",2014-05-15,0.353381061575048,0.585374953581714,-0.146561667323112,-0.146561667323112,2014
"30",2014-06-15,0.416930977944976,0.366396685461702,-0.182876601815224,-0.182876601815224,2014
"31",2014-07-15,0.336206178468308,0.403636156617892,-0.154971525073051,-0.154971525073051,2014
"32",2014-08-15,0.366716144850405,0.370487273011662,0.0161477699875831,0.0161477699875831,2014
"33",2014-09-15,0.494930977576451,0.433761623001504,-0.0903163403272629,-0.0903163403272629,2014
"34",2014-10-15,0.494842965557485,0.353606159568801,-0.0449301525950431,-0.0449301525950431,2014
"35",2014-11-15,0.371454861098272,0.383371521387879,-0.221930086612701,-0.221930086612701,2014
"36",2014-12-15,0.385559394355355,0.509976976137218,-0.124708488583565,-0.124708488583565,2014
"37",2015-01-15,0.249603532460241,0.512495261456306,-0.125385716557503,-0.125385716557503,2015
"38",2015-02-15,0.260038976415441,0.391300675206452,-0.669553875923157,-0.669553875923157,2015
"39",2015-03-15,0.206202921239692,0.402774933715717,-0.0195598937571049,-0.0195598937571049,2015
"40",2015-04-15,0.326947766794483,0.265482401634065,-0.0246994197368622,-0.0246994197368622,2015
"41",2015-05-15,0.26506003398045,0.273774166959654,0.0263643823564052,0.0263643823564052,2015
"42",2015-06-15,0.37697386875906,0.218604568319742,0.0347184129059315,0.0347184129059315,2015
"43",2015-07-15,0.399605634599014,0.336875264785049,-0.552046597003937,-0.552046597003937,2015
"44",2015-08-15,0.442027929913316,0.276608080220461,-0.124100178480148,-0.124100178480148,2015
"45",2015-09-15,0.361541669372866,0.387598773162115,-0.192281395196915,-0.192281395196915,2015
"46",2015-10-15,0.368715480691575,0.410548180228446,-0.123685047030449,-0.123685047030449,2015
"47",2015-11-15,0.482132316192226,0.454251493787284,-0.363519877195358,-0.363519877195358,2015
"48",2015-12-15,0.653875247258881,0.375294708005715,-0.108102023601532,-0.108102023601532,2015
"49",2016-01-15,0.251083701201966,0.381642910819986,0.0571941360831261,0.0571941360831261,2016
"50",2016-02-15,0.229981547962437,0.492682769901217,-0.176168993115425,-0.176168993115425,2016
"51",2016-03-15,0.367380737971344,0.664818541387244,-0.248435243964195,-0.248435243964195,2016
"52",2016-04-15,0.405079878694185,0.269245488980809,-0.303258061408997,-0.303258061408997,2016
"53",2016-05-15,0.503792048497783,0.245110075411356,-0.699460327625275,-0.699460327625275,2016
"54",2016-06-15,0.438032022972805,0.345774729058698,-0.354462176561356,-0.354462176561356,2016
"55",2016-07-15,0.501914669244762,0.406391219052971,-0.164931356906891,-0.164931356906891,2016
"56",2016-08-15,0.463880930463434,0.48981758686307,-0.390794336795807,-0.390794336795807,2016
"57",2016-09-15,0.481379262959279,0.468574318091979,-0.640087068080902,-0.640087068080902,2016
"58",2016-10-15,0.576691976684788,0.499955549504695,-0.251038908958435,-0.251038908958435,2016
