"","date","true_value","ar","pred_dfm_alldata","pred_dfm_after_pre","pred_dfm_doublepca","pred_ols","pred_ms","pred_qr","pred_rf","pred_xgbt","pred_mrf","pred_mean","year"
"1",2012-01-15,0.00607419498274939,-0.0748986863761702,-0.0911990355876376,-0.332586710827051,-0.332586710827051,-0.227376475865649,-0.227376475865649,-0.96023258292545,0.0888512422951298,-0.2432303906226,0.0133593824461955,-0.256930861975529,2012
"2",2012-02-15,0.346541256977475,0.104441296510613,-0.0646303429010786,-0.028882194527733,-0.028882194527733,0.346567826935557,0.346567826935557,-0.648172873572861,0.0883091856438358,-0.0461912014430337,0.110869456327487,0.0083950543188887,2012
"3",2012-03-15,-0.108154448473315,-0.056917502721338,-0.0840417629999745,-0.112170612273407,-0.112170612273407,0.107678194695134,0.107678194695134,-0.56663998997726,-0.00432872803123333,0.0749125029465078,0.104183978717212,-0.0538776482779216,2012
"4",2012-04-15,-0.194330235872968,0.0200558289076976,-0.168017955925629,-0.236929252113951,-0.236929252113951,0.0379915233192119,0.0379915233192119,-0.833675514926812,0.0133435811499847,0.174657331213043,0.184426214502636,-0.114126866841806,2012
"5",2012-05-15,0.59349995725937,0.0660267368374161,-0.329249184346826,0.0772157005848035,0.0772157005848035,0.571469423519919,0.571469423519919,-0.90287603897407,-0.0349138700982807,0.161120583658462,0.140913932231472,0.0369295189644669,2012
"6",2012-06-15,-0.629129392520708,0.00640190340765691,-0.311248865318981,-0.0851673210391818,-0.0851673210391818,-0.0682087434703873,-0.0682087434703873,-0.574682373036959,0.178627180411244,0.0213295395923543,-0.177487646771438,-0.130023810460324,2012
"7",2012-07-15,0.11643811173341,-0.00638727635996236,-0.417810103749225,-0.155484279796469,-0.155484279796469,-0.241329211421856,-0.714904983050752,-0.901283029269695,0.110463717863301,0.210644843695923,-0.302618330897823,-0.285311739602563,2012
"8",2012-08-15,0.761465383463973,0.101561729743244,-0.225473651890465,0.161565313188907,0.161565313188907,-0.75030220033399,-1.89258031927622,-0.34088125880736,0.00525998861823605,-0.31509837018664,-0.358490184903985,-0.394937263378068,2012
"9",2012-09-15,-1.12738586845003,-0.0664067766784554,-0.105005933360654,-0.261525534759771,-0.261525534759771,-0.366636421402709,-0.750003844470325,-0.167298303712745,0.116782355009531,0.0299103633558759,-0.108780690544032,-0.208231504960511,2012
"10",2012-10-15,0.0910656360210768,0.0346173862124701,-0.0456887421564656,-0.258178297387857,-0.258178297387857,-0.694494626070442,-1.19496057594673,-0.859782986062328,-0.183407590490521,-0.231360176872702,0.0490822222740518,-0.408552118900094,2012
