"","total","crisis","normal"
"ar",1.0331473065153,1.91326361828444,0.372144477844146
"pred_ols",0.269263941177601,0.244384208144749,0.277634248368813
"pred_ms",0.281637602456387,0.266900365468139,0.286732413027363
"pred_qr",0.305728538504076,0.309953422312999,0.304200873741381
"pred_rf",0.819018548676908,1.40261161359632,0.454272449871237
"pred_xgbt",0.798716971857248,1.37562562480704,0.434295454010448
"pred_mrf",0.373887896060463,0.574660738341754,0.267532877378986
"pred_xgbl",0.373019762445297,0.466477954199921,0.333225759759141
"pred_mean",0.359788975809586,0.541100449409103,0.26634129812902
