"NA.","V2"
"pre-selection",3
"nb variables",60
"ar",1.0331473065153
"pred_ols",0.269263941177601
"pred_ms",0.281637602456387
"pred_qr",0.305728538504076
"pred_rf",0.819018548676908
"pred_xgbt",0.798716971857248
"pred_mrf",0.373887896060463
"pred_xgbl",0.373019762445297
"pred_mean",0.359788975809586
