"","total","crisis","normal"
"ar",1.44832222971452,2.49304397723687,0.789091240399752
"pred_ols",1.6693050783214,2.84924593544694,0.936346279823329
"pred_ms",1.96199147813896,3.41277391873852,1.02773291507096
"pred_qr",1.80245731563596,3.09821280754482,0.987015883045386
"pred_rf",1.31466426653549,2.18237291256489,0.800867975584757
"pred_xgbt",1.37527522073356,2.23891974244755,0.879361005847868
"pred_mrf",1.44029460372388,2.43316453173354,0.834765730996614
"pred_xgbl",1.54973089170552,2.623828543932,0.892122755001477
"pred_mean",1.51080600836861,2.5983267192324,0.825701190765515
