"EU TB","EU Imports","EU Exports","China TB","China Imports","China Exports","China Export Prices","China Import Prices","DE Exports in T","DE Imports in T","DE TB","DE Export Prices","DE Import Prices","US TB","US Exports","US Imports","US Export Prices","US Import Prices","FR TB","FR Imports","FR Exports","FR Export Prices","FR Import Prices","GP Imports","GB Exports","GB Import Prices","GB Export Prices","GB Trade Balance","IT Exports","IT Imports","IT Trade Balance","IT Import Prices","IT Export Prices","JP TB","JP Imports","JP Exports","JP Export Prices","JP Import Prices","NL Exports","NL Imports","NL TB","NL Export Prices","NL Import Prices","Canada Exports","Canada Imports","Canada TB","Canada Import Prices","Canada Export Prices","Korea Exports","Korea Imports","Korea Export Prices","Korea Import Prices","Korea TB","HK Exports","HK Imports","HK TB","MX Exports","MX Imports","MX TB"
1.62e+10,1.59075e+11,1.75273e+11,3.2204e+10,1.38345e+11,1.70549e+11,98.08,98.61,9.567e+10,7.675e+10,1.92e+10,94.42,93.04,-4.879e+10,1.37531e+11,2.12102e+11,125.8,126.8,-5.033e+09,4.3766e+10,3.8733e+10,114.9,99.9,3.7964e+10,2.8049e+10,111.6,113.3,-7.91e+08,3.7939e+10,3.3963e+10,3.138e+09,79.96,81.49,-4.2879e+11,7.202e+12,6.773e+12,106.6,114.1,4.3414e+10,3.7162e+10,6.252e+09,92.7,92.8,4.6806e+10,4.891e+10,-2.104e+09,99.5,101.7,4.4524e+10,4.1722e+10,107.95,103.99,2.801e+09,2.45744e+11,2.88476e+11,-4.2732e+10,3.7163e+10,3.761e+10,943933000
2.63e+10,1.72574e+11,1.98847e+11,-5.794e+09,1.79694e+11,1.739e+11,103.2,101.1,9.741e+10,7.636e+10,2.18e+10,94.51,92.95,-4.351e+10,1.40257e+11,2.10066e+11,126.3,126.5,-3.755e+09,4.8165e+10,4.441e+10,115.1,100.2,4.11e+10,2.8606e+10,111.4,113.1,-3.316e+09,3.8392e+10,3.4482e+10,4.649e+09,84.15,83.35,7.0745e+10,6.548e+12,6.619e+12,105.6,112.1,4.7826e+10,3.9803e+10,8.023e+09,92.1,92.1,4.8208e+10,5.1677e+10,-3.469e+09,101.8,102.9,5.131e+10,4.4898e+10,106.42,104.54,6.412e+09,3.47732e+11,4.03236e+11,-5.5505e+10,3.8151e+10,3.8713e+10,1.75e+09
1.55e+10,1.6719e+11,1.82699e+11,2.6217e+10,1.72719e+11,1.98936e+11,100.2,100.5,9.742e+10,7.732e+10,2.01e+10,94.7,93.5,-4.613e+10,1.40638e+11,2.11698e+11,126.9,127.1,-5.135e+09,4.5405e+10,4.027e+10,114.9,100.6,4.0636e+10,2.8619e+10,111.4,113.4,-2.818e+09,3.8421e+10,3.4927e+10,2.926e+09,85.01,83.73,5.33575e+11,6.224e+12,6.757e+12,105.9,113.5,4.3422e+10,3.8057e+10,5.364e+09,91.2,93.1,4.9009e+10,5.0496e+10,-1.487e+09,100.9,103.6,4.985e+10,4.3694e+10,106.61,105.69,6.156e+09,3.30224e+11,3.77173e+11,-4.6949e+10,3.7277e+10,3.7875e+10,-290271000
1.59e+10,1.73516e+11,1.89459e+11,2.3415e+10,1.88177e+11,2.11592e+11,100.6,102,9.821e+10,7.703e+10,2.12e+10,95.17,94.88,-4.142e+10,1.4386e+11,2.10426e+11,127.8,128.2,-7.486e+09,4.6351e+10,3.8865e+10,115.7,102.1,4.1341e+10,2.9522e+10,NA,NA,-2.576e+09,3.7577e+10,3.5291e+10,3.439e+09,87.78,85.25,-1.33993e+11,7.064e+12,6.93e+12,107.5,116.7,4.6726e+10,3.9375e+10,7.351e+09,93.8,93.2,4.9014e+10,5.148e+10,-2.466e+09,102,106.9,5.0688e+10,4.4459e+10,108.45,108.8,6.229e+09,3.51368e+11,3.94618e+11,-4.325e+10,3.6487e+10,3.8523e+10,-1.552e+09
2.18e+10,1.77109e+11,1.9889e+11,4.0906e+10,1.74691e+11,2.15596e+11,100.4,104.4,9.758e+10,7.8e+10,1.96e+10,95.45,95.34,-4.481e+10,1.41848e+11,2.11157e+11,128,128.2,-5.143e+09,4.8734e+10,4.3592e+10,116.5,102.4,4.0858e+10,3.0707e+10,NA,NA,-8.04e+08,3.9686e+10,3.5524e+10,5.269e+09,89.68,85.96,-2.7594e+10,6.816e+12,6.789e+12,107.6,119,4.6835e+10,3.9779e+10,7.056e+09,93.6,94.8,5.1685e+10,5.1933e+10,-248700000,103.5,107.6,5.1079e+10,4.5e+10,109.3,110.17,6.079e+09,3.40334e+11,3.94471e+11,-5.4137e+10,3.7236e+10,3.9103e+10,-899828000
1.57e+10,1.78414e+11,1.94097e+11,2.7488e+10,1.86914e+11,2.14403e+11,101,106.9,9.656e+10,8.199e+10,1.51e+10,95.54,95.25,-4.967e+10,1.39405e+11,2.14042e+11,127.4,128.1,-3.913e+09,4.7304e+10,4.3391e+10,116.7,102.6,4.1485e+10,3.0796e+10,NA,NA,-1.213e+09,3.9351e+10,3.6515e+10,5.83e+09,91.4,87.95,-1.53749e+11,6.897e+12,6.744e+12,108,120.2,4.496e+10,3.89e+10,6.06e+09,94.4,94.5,5.1482e+10,5.1547e+10,-65400000,104.1,108.1,5.181e+10,4.4917e+10,112.03,111.66,6.893e+09,3.59125e+11,4.06234e+11,-4.7109e+10,3.7375e+10,3.9212e+10,-2.87e+09
1.09e+10,1.70159e+11,1.81022e+11,2.6297e+10,1.90652e+11,2.16949e+11,104.1,105.8,9.699e+10,7.895e+10,1.94e+10,95.73,95.25,-4.956e+10,1.38889e+11,2.14016e+11,127.3,127.6,-6.27e+09,4.0236e+10,3.3967e+10,117,102.8,4.284e+10,3e+10,NA,NA,-3.261e+09,3.9794e+10,3.5776e+10,2.464e+09,89.68,87.43,-1.3668e+11,7.05e+12,6.913e+12,107.6,119.5,4.4809e+10,3.9513e+10,5.297e+09,94.6,95.4,5.0586e+10,5.1087e+10,-500800000,103.8,106.5,5.118e+10,4.4361e+10,111.98,111.34,6.82e+09,3.76303e+11,4.28452e+11,-5.2149e+10,3.7947e+10,3.9188e+10,-2.584e+09
1.14e+10,1.73949e+11,1.8538e+11,3.0263e+10,1.95134e+11,2.25398e+11,107,110.9,9.624e+10,7.97e+10,1.76e+10,95.73,95.62,-5.056e+10,1.41314e+11,2.1697e+11,127.3,127.7,-5.728e+09,4.507e+10,3.9342e+10,117.2,103.6,4.0783e+10,3.04e+10,NA,NA,-7.79e+08,3.8478e+10,3.5887e+10,1.219e+09,89.63,89.71,-2.37354e+11,6.978e+12,6.741e+12,108,120.2,4.5796e+10,3.8483e+10,7.313e+09,94.6,95.6,5.0664e+10,5.1191e+10,-526900000,104,105.2,5.065e+10,4.1033e+10,112.2,113.2,9.617e+09,3.74961e+11,4.22676e+11,-4.7715e+10,3.9384e+10,3.9451e+10,-301080000
1.18e+10,1.96708e+11,2.08495e+11,3.2974e+10,1.81786e+11,2.14759e+11,109.4,110.4,9.733e+10,8.092e+10,1.74e+10,95.91,96.54,-5.245e+10,1.42181e+11,2.18705e+11,127.9,128.3,-4.494e+09,5.1446e+10,4.6952e+10,117.7,104.5,4.2637e+10,3.0199e+10,NA,NA,-2.92e+09,3.9769e+10,3.7004e+10,3.828e+09,91.71,90.71,-3.41372e+11,7.287e+12,6.945e+12,108.6,122.2,4.8542e+10,4.2345e+10,6.197e+09,97.6,98.3,5.0226e+10,5.0428e+10,-201600000,103.4,104.8,5.486e+10,4.8481e+10,112.75,115.19,6.38e+09,3.83651e+11,4.28142e+11,-4.449e+10,3.8358e+10,3.9865e+10,-2.935e+09
1.69e+10,1.8592e+11,2.02772e+11,4.1859e+10,1.82435e+11,2.24294e+11,107.5,111.3,9.493e+10,7.971e+10,1.87e+10,95.82,95.62,-4.94e+10,1.39523e+11,2.12631e+11,126.9,126.2,-4.947e+09,4.8774e+10,4.3827e+10,117.2,102.7,4.2602e+10,2.9861e+10,NA,NA,-3.445e+09,3.9967e+10,3.6333e+10,3.975e+09,93.43,91.8,-3.79952e+11,7.179e+12,6.799e+12,108.6,123.2,4.8756e+10,4.0881e+10,7.875e+09,96.3,96.8,4.7003e+10,5.0126e+10,-3.123e+09,104.2,98.9,5.148e+10,4.6808e+10,109.22,109.52,4.671e+09,3.6432e+11,4.09284e+11,-4.4964e+10,3.7469e+10,3.9868e+10,-2.333e+09
