"NA.","V2"
"pre-selection",1
"nb variables",60
"ar",1.44832222971452
"pred_ols",1.6693050783214
"pred_ms",1.96199147813896
"pred_qr",1.80245731563596
"pred_rf",1.31466426653549
"pred_xgbt",1.37527522073356
"pred_mrf",1.44029460372388
"pred_xgbl",1.54973089170552
"pred_mean",1.51080600836861
