"","date","true_value","ar","pred_lstm_custom","pred_mean","year"
"1",2012-01-15,-0.0635364063599614,0.0200526859933434,-0.0478415824472904,-0.0478415824472904,2012
"2",2012-02-15,-0.073738372827139,0.0304832862760956,-0.188719481229782,-0.188719481229782,2012
"3",2012-03-15,0.182024900821876,-0.00499530375583062,-0.133865788578987,-0.133865788578987,2012
"4",2012-04-15,0.0434215571759255,-0.0441536265192975,-0.338426768779755,-0.338426768779755,2012
"5",2012-05-15,0.209562648448049,-0.0559816657928002,-0.107384324073791,-0.107384324073791,2012
"6",2012-06-15,0.224519746622853,0.197373351592933,-0.098741203546524,-0.098741203546524,2012
"7",2012-07-15,0.0779531421387004,0.0634645165754412,-0.0686918944120407,-0.0686918944120407,2012
"8",2012-08-15,0.0923302829514025,0.231262764985526,-0.525180816650391,-0.525180816650391,2012
"9",2012-09-15,0.306140276063872,0.2464399307452,-0.0948873162269592,-0.0948873162269592,2012
"10",2012-10-15,0.210541194127708,0.102650451011152,-0.223056435585022,-0.223056435585022,2012
"11",2012-11-15,0.068080410013798,0.113783807120916,-0.204121828079224,-0.204121828079224,2012
"12",2012-12-15,0.261806610908716,0.324889841503171,-0.229974180459976,-0.229974180459976,2012
"13",2013-01-15,0.437531017055345,0.233319393813213,-0.260268330574036,-0.260268330574036,2013
"14",2013-02-15,0.456812156849359,0.0924363811495274,-0.0796250402927399,-0.0796250402927399,2013
"15",2013-03-15,0.481862531638783,0.28114025037254,-0.086422212421894,-0.086422212421894,2013
"16",2013-04-15,0.341131866985561,0.458548715297399,-0.194234371185303,-0.194234371185303,2013
"17",2013-05-15,0.199104790921478,0.48496982946928,-0.21300520002842,-0.21300520002842,2013
"18",2013-06-15,0.155929195120779,0.514212696070523,-0.361124247312546,-0.361124247312546,2013
"19",2013-07-15,0.169928304435737,0.415886290688473,-0.153368532657623,-0.153368532657623,2013
"20",2013-08-15,0.264754010243393,0.268611695303925,-0.233530521392822,-0.233530521392822,2013
"21",2013-09-15,0.190808179462483,0.19268054060936,0.0596057549118996,0.0596057549118996,2013
"22",2013-10-15,0.276216797887935,0.185404134530457,0.0373520143330097,0.0373520143330097,2013
"23",2013-11-15,0.367920543108295,0.278858420500813,-0.0774565190076828,-0.0774565190076828,2013
"24",2013-12-15,0.250460451011613,0.206972049052931,0.202089607715607,0.202089607715607,2013
"25",2014-01-15,0.274601634839876,0.291950584689879,-0.131224721670151,-0.131224721670151,2014
"26",2014-02-15,0.28849649393855,0.383307229342298,-0.0795612931251526,-0.0795612931251526,2014
"27",2014-03-15,0.383720696408609,0.269045436159344,-0.0200653485953808,-0.0200653485953808,2014
"28",2014-04-15,0.420617477490507,0.292327867574396,-0.223217815160751,-0.223217815160751,2014
"29",2014-05-15,0.409795570481848,0.304126675144466,-0.269980996847153,-0.269980996847153,2014
"30",2014-06-15,0.347399192143476,0.399353463070061,-0.129011660814285,-0.129011660814285,2014
"31",2014-07-15,0.539144551112759,0.437873069277041,-0.307519048452377,-0.307519048452377,2014
"32",2014-08-15,0.494261189869049,0.429137518451062,-0.129982739686966,-0.129982739686966,2014
"33",2014-09-15,0.481149705112791,0.366845781416353,0.0042508281767368,0.0042508281767368,2014
"34",2014-10-15,0.526981342539979,0.557049996036809,-0.132917508482933,-0.132917508482933,2014
"35",2014-11-15,0.513262556583407,0.514250103600497,-0.214645832777023,-0.214645832777023,2014
"36",2014-12-15,0.439201166746658,0.511103866923227,0.0108019430190326,0.0108019430190326,2014
"37",2015-01-15,0.816393361702428,0.541927792758834,0.00601571798324589,0.00601571798324589,2015
"38",2015-02-15,0.973340133127485,0.54264011332947,-0.46447166800499,-0.46447166800499,2015
"39",2015-03-15,-0.00457457919674461,0.482924835250695,-0.159727782011032,-0.159727782011032,2015
"40",2015-04-15,0.28053948978,0.837383341937394,-0.342362403869629,-0.342362403869629,2015
"41",2015-05-15,0.371868531726375,0.969459756680368,-0.236635521054268,-0.236635521054268,2015
"42",2015-06-15,0.325785221415404,0.0273727731208764,-0.121061339974403,-0.121061339974403,2015
"43",2015-07-15,0.273521987298966,0.210480746160575,-0.0992519557476044,-0.0992519557476044,2015
"44",2015-08-15,0.476186761079426,0.350240434795187,-0.167246222496033,-0.167246222496033,2015
"45",2015-09-15,0.4434260130733,0.355836295169842,-0.509272038936615,-0.509272038936615,2015
"46",2015-10-15,0.431098914137003,0.307610135931984,-0.12678374350071,-0.12678374350071,2015
"47",2015-11-15,0.346689241636016,0.418789776855205,-0.286106616258621,-0.286106616258621,2015
"48",2015-12-15,0.58822484273891,0.469194010061957,-0.435095101594925,-0.435095101594925,2015
"49",2016-01-15,0.431930092522661,0.451849581642377,-0.324792414903641,-0.324792414903641,2016
"50",2016-02-15,0.421582101516123,0.394158529797906,-0.287615537643433,-0.287615537643433,2016
"51",2016-03-15,0.369991415134849,0.515386078106887,-0.0138092339038849,-0.0138092339038849,2016
"52",2016-04-15,0.382739170651147,0.504686050573848,-0.226472109556198,-0.226472109556198,2016
"53",2016-05-15,0.407344248268949,0.442800379378517,-0.0510944053530693,-0.0510944053530693,2016
"54",2016-06-15,0.398720531288547,0.40596255908878,-0.345060169696808,-0.345060169696808,2016
"55",2016-07-15,0.448397061449863,0.392831530853844,-0.22816264629364,-0.22816264629364,2016
"56",2016-08-15,0.482270348104239,0.412079327513194,-0.299725145101547,-0.299725145101547,2016
"57",2016-09-15,0.383696413228992,0.415652366796373,-0.206742748618126,-0.206742748618126,2016
"58",2016-10-15,0.483743451488183,0.443648456489984,-0.23907895386219,-0.23907895386219,2016
